response_code,responseheaders,response cookies,response.text,response.content
400,"{'cache-control': 'no-cache, no-store, max-age=0, must-revalidate', 'content-length': '388', 'content-type': 'application/json;charset=UTF-8', 'date': 'Sun, 16 Mar 2025 22:51:57 GMT', 'expires': '0', 'pragma': 'no-cache', 'sap_messageprocessinglogid': 'AGfXVgygWmVnr8mMCPduyOXZ1SM3', 'sap_mplcorrelationid': 'AGfXVgxZL4UZqcVWlXx87XrBo4_c', 'sap_pregeneratedmplid': 'AGfXVg1B1Of9LdR35EYBa2T3gn87', 'server': 'SAP', 'x-content-type-options': 'nosniff', 'x-correlationid': '2c2f34b4-ce74-47f6-54ce-4b5029e2af29', 'x-frame-options': 'DENY', 'x-vcap-request-id': '2c2f34b4-ce74-47f6-54ce-4b5029e2af29', 'x-xss-protection': '1; mode=block', 'strict-transport-security': 'max-age=31536000; includeSubDomains; preload;'}",<RequestsCookieJar[]>,"com.sap.it.xml.validator.exception.XSDSchemaValidationException: Validation failed for: /xsd/salestransaction.xsd
errors: [
org.xml.sax.SAXParseException: In content of element <salesOrder>: The content model does not allow element <Q{}salesReferenceID> to appear as the first child. It must be preceded by <Q{}appID>. , Line : 1, Column : 69
]. Exchange[0FDFAC6E89E771F-0000000000000002]","b'com.sap.it.xml.validator.exception.XSDSchemaValidationException: Validation failed for: /xsd/salestransaction.xsd\nerrors: [\norg.xml.sax.SAXParseException: In content of element <salesOrder>: The content model does not allow element <Q{}salesReferenceID> to appear as the first child. It must be preceded by <Q{}appID>. , Line : 1, Column : 69\n]. Exchange[0FDFAC6E89E771F-0000000000000002]'"
200,"{'cache-control': 'no-cache, no-store, max-age=0, must-revalidate', 'content-type': 'application/json', 'date': 'Sun, 16 Mar 2025 22:51:58 GMT', 'expires': '0', 'pragma': 'no-cache', 'sap_messageprocessinglogid': 'AGfXVg51pXsfy4-FgUby6rYAaNhc', 'sap_mplcorrelationid': 'AGfXVg6raNUjqBZ7WEXTIo24--l-', 'sap_pregeneratedmplid': 'AGfXVg53wu6V2eaJBRtoShwpnM_z', 'server': 'SAP', 'x-content-type-options': 'nosniff', 'x-correlationid': '15553fee-9100-4f60-6110-f97648897871', 'x-frame-options': 'DENY', 'x-vcap-request-id': '15553fee-9100-4f60-6110-f97648897871', 'x-xss-protection': '1; mode=block', 'transfer-encoding': 'chunked', 'strict-transport-security': 'max-age=31536000; includeSubDomains; preload;'}",<RequestsCookieJar[]>,"{""appID"": ""ONECASH"", ""salesReferenceID"": ""TgVG9cu6fa"", ""payReferenceID"": ""7VHksArXh9"", ""customerName2"": ""customerName2"", ""customerStreet"": ""18 Manners Street"", ""customerCity"": ""Wellington"", ""customerCountry"": ""NZ"", ""customerPostCode"": ""6143"", ""transactionDate"": ""2025-03-12"", ""totalGrossAmount"": 78.12, ""totalTaxAmount"": 0.12, ""paymentSurchargeAmount"": 0.0, ""customerID"": ""203287"", ""customerEmail"": ""cheka@doc.govt.nz"", ""currency"": ""NZD"", ""items"": [{""id"": 1, ""product"": ""100000101"", ""itemDescription"": ""6 x Fishing Lic, Taupo - Adult 24Hr"", ""WBSElement"": """", ""costCentre"": ""9212336"", ""fromDate"": ""2025-03-15"", ""toDate"": ""2025-03-21"", ""netPrice"": 78.0, ""quantity"": 6, ""uom"": ""EA"", ""taxcode"": ""S1""}]}","b'{""appID"": ""ONECASH"", ""salesReferenceID"": ""TgVG9cu6fa"", ""payReferenceID"": ""7VHksArXh9"", ""customerName2"": ""customerName2"", ""customerStreet"": ""18 Manners Street"", ""customerCity"": ""Wellington"", ""customerCountry"": ""NZ"", ""customerPostCode"": ""6143"", ""transactionDate"": ""2025-03-12"", ""totalGrossAmount"": 78.12, ""totalTaxAmount"": 0.12, ""paymentSurchargeAmount"": 0.0, ""customerID"": ""203287"", ""customerEmail"": ""cheka@doc.govt.nz"", ""currency"": ""NZD"", ""items"": [{""id"": 1, ""product"": ""100000101"", ""itemDescription"": ""6 x Fishing Lic, Taupo - Adult 24Hr"", ""WBSElement"": """", ""costCentre"": ""9212336"", ""fromDate"": ""2025-03-15"", ""toDate"": ""2025-03-21"", ""netPrice"": 78.0, ""quantity"": 6, ""uom"": ""EA"", ""taxcode"": ""S1""}]}'"
200,"{'cache-control': 'no-cache, no-store, max-age=0, must-revalidate', 'content-type': 'application/json', 'date': 'Sun, 16 Mar 2025 22:51:58 GMT', 'expires': '0', 'pragma': 'no-cache', 'sap_messageprocessinglogid': 'AGfXVg4f3pBZ4J9t-O3D8IviQPcJ', 'sap_mplcorrelationid': 'AGfXVg5mELlU4wGOaRKqmBmzrbhk', 'sap_pregeneratedmplid': 'AGfXVg5fzT-0taQUi-G2W7XrrqEA', 'server': 'SAP', 'x-content-type-options': 'nosniff', 'x-correlationid': '5c45345d-f97f-4d4e-6610-e7ecc10c910f', 'x-frame-options': 'DENY', 'x-vcap-request-id': '5c45345d-f97f-4d4e-6610-e7ecc10c910f', 'x-xss-protection': '1; mode=block', 'transfer-encoding': 'chunked', 'strict-transport-security': 'max-age=31536000; includeSubDomains; preload;'}",<RequestsCookieJar[]>,"{""appID"": ""ONECASH"", ""salesReferenceID"": ""cbk3TtKMKI"", ""payReferenceID"": ""aQbPsEB0Yi"", ""customerName"": ""Martin CamTest"", ""customerStreet"": ""18 Manners Street"", ""customerCity"": ""Wellington"", ""customerCountry"": ""NZ"", ""customerPostCode"": ""6143"", ""transactionDate"": ""2025-03-12"", ""totalGrossAmount"": 106.16, ""totalTaxAmount"": 0.16, ""paymentSurchargeAmount"": 0.0, ""customerID"": ""203287"", ""customerEmail"": ""cheka@doc.govt.nz"", ""currency"": ""NZD"", ""items"": [{""id"": 1, ""product"": ""100000101"", ""itemDescription"": ""6 x Fishing Lic, Taupo - Adult 24Hr"", ""WBSElement"": """", ""costCentre"": ""9212336"", ""fromDate"": ""2025-03-15"", ""toDate"": ""2025-03-21"", ""netPrice"": 106.0, ""quantity"": 6, ""uom"": ""EA"", ""taxcode"": ""S1""}]}","b'{""appID"": ""ONECASH"", ""salesReferenceID"": ""cbk3TtKMKI"", ""payReferenceID"": ""aQbPsEB0Yi"", ""customerName"": ""Martin CamTest"", ""customerStreet"": ""18 Manners Street"", ""customerCity"": ""Wellington"", ""customerCountry"": ""NZ"", ""customerPostCode"": ""6143"", ""transactionDate"": ""2025-03-12"", ""totalGrossAmount"": 106.16, ""totalTaxAmount"": 0.16, ""paymentSurchargeAmount"": 0.0, ""customerID"": ""203287"", ""customerEmail"": ""cheka@doc.govt.nz"", ""currency"": ""NZD"", ""items"": [{""id"": 1, ""product"": ""100000101"", ""itemDescription"": ""6 x Fishing Lic, Taupo - Adult 24Hr"", ""WBSElement"": """", ""costCentre"": ""9212336"", ""fromDate"": ""2025-03-15"", ""toDate"": ""2025-03-21"", ""netPrice"": 106.0, ""quantity"": 6, ""uom"": ""EA"", ""taxcode"": ""S1""}]}'"
200,"{'cache-control': 'no-cache, no-store, max-age=0, must-revalidate', 'content-type': 'application/json', 'date': 'Sun, 16 Mar 2025 22:51:59 GMT', 'expires': '0', 'pragma': 'no-cache', 'sap_messageprocessinglogid': 'AGfXVg_ShZsLM-IRrCuquQZ7wlWL', 'sap_mplcorrelationid': 'AGfXVg_gNnCruJkSrNExeDIOKr60', 'sap_pregeneratedmplid': 'AGfXVg_uAo4XjcYgS4-NogjfpErm', 'server': 'SAP', 'x-content-type-options': 'nosniff', 'x-correlationid': 'd11dd145-3c30-4497-7e8b-e9a825aa21d8', 'x-frame-options': 'DENY', 'x-vcap-request-id': 'd11dd145-3c30-4497-7e8b-e9a825aa21d8', 'x-xss-protection': '1; mode=block', 'transfer-encoding': 'chunked', 'strict-transport-security': 'max-age=31536000; includeSubDomains; preload;'}",<RequestsCookieJar[]>,"{""appID"": ""ONECASH"", ""salesReferenceID"": ""une4xyCRUL"", ""payReferenceID"": ""ohBP5FuVoe"", ""customerName"": ""Martin CamTest"", ""customerName2"": ""customerName2"", ""customerCity"": ""Wellington"", ""customerCountry"": ""NZ"", ""customerPostCode"": ""6143"", ""transactionDate"": ""2025-03-12"", ""totalGrossAmount"": 81.12, ""totalTaxAmount"": 0.12, ""paymentSurchargeAmount"": 0.0, ""customerID"": ""203287"", ""customerEmail"": ""cheka@doc.govt.nz"", ""currency"": ""NZD"", ""items"": [{""id"": 1, ""product"": ""100000101"", ""itemDescription"": ""6 x Fishing Lic, Taupo - Adult 24Hr"", ""WBSElement"": """", ""costCentre"": ""9212336"", ""fromDate"": ""2025-03-15"", ""toDate"": ""2025-03-21"", ""netPrice"": 81.0, ""quantity"": 6, ""uom"": ""EA"", ""taxcode"": ""S1""}]}","b'{""appID"": ""ONECASH"", ""salesReferenceID"": ""une4xyCRUL"", ""payReferenceID"": ""ohBP5FuVoe"", ""customerName"": ""Martin CamTest"", ""customerName2"": ""customerName2"", ""customerCity"": ""Wellington"", ""customerCountry"": ""NZ"", ""customerPostCode"": ""6143"", ""transactionDate"": ""2025-03-12"", ""totalGrossAmount"": 81.12, ""totalTaxAmount"": 0.12, ""paymentSurchargeAmount"": 0.0, ""customerID"": ""203287"", ""customerEmail"": ""cheka@doc.govt.nz"", ""currency"": ""NZD"", ""items"": [{""id"": 1, ""product"": ""100000101"", ""itemDescription"": ""6 x Fishing Lic, Taupo - Adult 24Hr"", ""WBSElement"": """", ""costCentre"": ""9212336"", ""fromDate"": ""2025-03-15"", ""toDate"": ""2025-03-21"", ""netPrice"": 81.0, ""quantity"": 6, ""uom"": ""EA"", ""taxcode"": ""S1""}]}'"
200,"{'cache-control': 'no-cache, no-store, max-age=0, must-revalidate', 'content-type': 'application/json', 'date': 'Sun, 16 Mar 2025 22:51:59 GMT', 'expires': '0', 'pragma': 'no-cache', 'sap_messageprocessinglogid': 'AGfXVg8UzeDH9d0DrV8_uK5cs8Bm', 'sap_mplcorrelationid': 'AGfXVg9i5UyaLERWyhZ9GIVxLxNk', 'sap_pregeneratedmplid': 'AGfXVg-pbql024G0VrnYHkmx77-S', 'server': 'SAP', 'x-content-type-options': 'nosniff', 'x-correlationid': 'c0c46668-4dab-44b6-4215-271a74a67793', 'x-frame-options': 'DENY', 'x-vcap-request-id': 'c0c46668-4dab-44b6-4215-271a74a67793', 'x-xss-protection': '1; mode=block', 'transfer-encoding': 'chunked', 'strict-transport-security': 'max-age=31536000; includeSubDomains; preload;'}",<RequestsCookieJar[]>,"{""appID"": ""ONECASH"", ""salesReferenceID"": ""oJp2PRTfNq"", ""payReferenceID"": ""GGESZilXC8"", ""customerName"": ""Martin CamTest"", ""customerName2"": ""customerName2"", ""customerStreet"": ""18 Manners Street"", ""customerCountry"": ""NZ"", ""customerPostCode"": ""6143"", ""transactionDate"": ""2025-03-12"", ""totalGrossAmount"": 73.11, ""totalTaxAmount"": 0.11, ""paymentSurchargeAmount"": 0.0, ""customerID"": ""203287"", ""customerEmail"": ""cheka@doc.govt.nz"", ""currency"": ""NZD"", ""items"": [{""id"": 1, ""product"": ""100000101"", ""itemDescription"": ""6 x Fishing Lic, Taupo - Adult 24Hr"", ""WBSElement"": """", ""costCentre"": ""9212336"", ""fromDate"": ""2025-03-15"", ""toDate"": ""2025-03-21"", ""netPrice"": 73.0, ""quantity"": 6, ""uom"": ""EA"", ""taxcode"": ""S1""}]}","b'{""appID"": ""ONECASH"", ""salesReferenceID"": ""oJp2PRTfNq"", ""payReferenceID"": ""GGESZilXC8"", ""customerName"": ""Martin CamTest"", ""customerName2"": ""customerName2"", ""customerStreet"": ""18 Manners Street"", ""customerCountry"": ""NZ"", ""customerPostCode"": ""6143"", ""transactionDate"": ""2025-03-12"", ""totalGrossAmount"": 73.11, ""totalTaxAmount"": 0.11, ""paymentSurchargeAmount"": 0.0, ""customerID"": ""203287"", ""customerEmail"": ""cheka@doc.govt.nz"", ""currency"": ""NZD"", ""items"": [{""id"": 1, ""product"": ""100000101"", ""itemDescription"": ""6 x Fishing Lic, Taupo - Adult 24Hr"", ""WBSElement"": """", ""costCentre"": ""9212336"", ""fromDate"": ""2025-03-15"", ""toDate"": ""2025-03-21"", ""netPrice"": 73.0, ""quantity"": 6, ""uom"": ""EA"", ""taxcode"": ""S1""}]}'"
200,"{'cache-control': 'no-cache, no-store, max-age=0, must-revalidate', 'content-type': 'application/json', 'date': 'Sun, 16 Mar 2025 22:51:59 GMT', 'expires': '0', 'pragma': 'no-cache', 'sap_messageprocessinglogid': 'AGfXVg9tzzrbXPZzWyYNWnJu5Pyd', 'sap_mplcorrelationid': 'AGfXVg-0avv59myL2OvUA3l8C_B3', 'sap_pregeneratedmplid': 'AGfXVg-c6U6_ziJ1PfCcCZKDRumn', 'server': 'SAP', 'x-content-type-options': 'nosniff', 'x-correlationid': 'a01bce85-5900-4ac6-4d7a-3745f721fe87', 'x-frame-options': 'DENY', 'x-vcap-request-id': 'a01bce85-5900-4ac6-4d7a-3745f721fe87', 'x-xss-protection': '1; mode=block', 'transfer-encoding': 'chunked', 'strict-transport-security': 'max-age=31536000; includeSubDomains; preload;'}",<RequestsCookieJar[]>,"{""appID"": ""ONECASH"", ""salesReferenceID"": ""Y0F4PCq3YZ"", ""payReferenceID"": ""gTjpqAgNAg"", ""customerName"": ""Martin CamTest"", ""customerName2"": ""customerName2"", ""customerStreet"": ""18 Manners Street"", ""customerCity"": ""Wellington"", ""customerPostCode"": ""6143"", ""transactionDate"": ""2025-03-12"", ""totalGrossAmount"": 142.21, ""totalTaxAmount"": 0.21, ""paymentSurchargeAmount"": 0.0, ""customerID"": ""203287"", ""customerEmail"": ""cheka@doc.govt.nz"", ""currency"": ""NZD"", ""items"": [{""id"": 1, ""product"": ""100000101"", ""itemDescription"": ""6 x Fishing Lic, Taupo - Adult 24Hr"", ""WBSElement"": """", ""costCentre"": ""9212336"", ""fromDate"": ""2025-03-15"", ""toDate"": ""2025-03-21"", ""netPrice"": 142.0, ""quantity"": 6, ""uom"": ""EA"", ""taxcode"": ""S1""}]}","b'{""appID"": ""ONECASH"", ""salesReferenceID"": ""Y0F4PCq3YZ"", ""payReferenceID"": ""gTjpqAgNAg"", ""customerName"": ""Martin CamTest"", ""customerName2"": ""customerName2"", ""customerStreet"": ""18 Manners Street"", ""customerCity"": ""Wellington"", ""customerPostCode"": ""6143"", ""transactionDate"": ""2025-03-12"", ""totalGrossAmount"": 142.21, ""totalTaxAmount"": 0.21, ""paymentSurchargeAmount"": 0.0, ""customerID"": ""203287"", ""customerEmail"": ""cheka@doc.govt.nz"", ""currency"": ""NZD"", ""items"": [{""id"": 1, ""product"": ""100000101"", ""itemDescription"": ""6 x Fishing Lic, Taupo - Adult 24Hr"", ""WBSElement"": """", ""costCentre"": ""9212336"", ""fromDate"": ""2025-03-15"", ""toDate"": ""2025-03-21"", ""netPrice"": 142.0, ""quantity"": 6, ""uom"": ""EA"", ""taxcode"": ""S1""}]}'"
200,"{'cache-control': 'no-cache, no-store, max-age=0, must-revalidate', 'content-type': 'application/json', 'date': 'Sun, 16 Mar 2025 22:51:59 GMT', 'expires': '0', 'pragma': 'no-cache', 'sap_messageprocessinglogid': 'AGfXVg-y_LxIrvvEt0uK0ocr9kuf', 'sap_mplcorrelationid': 'AGfXVg-0w0dkqNRW1I9-xay7C5NV', 'sap_pregeneratedmplid': 'AGfXVg_Ppf_F4vRnZn3fu0Q8xyEc', 'server': 'SAP', 'x-content-type-options': 'nosniff', 'x-correlationid': 'c7b442af-bb49-455e-655e-ab2611f4950d', 'x-frame-options': 'DENY', 'x-vcap-request-id': 'c7b442af-bb49-455e-655e-ab2611f4950d', 'x-xss-protection': '1; mode=block', 'transfer-encoding': 'chunked', 'strict-transport-security': 'max-age=31536000; includeSubDomains; preload;'}",<RequestsCookieJar[]>,"{""appID"": ""ONECASH"", ""salesReferenceID"": ""EX63zdDE7B"", ""payReferenceID"": ""psk93ZX5xc"", ""customerName"": ""Martin CamTest"", ""customerName2"": ""customerName2"", ""customerStreet"": ""18 Manners Street"", ""customerCity"": ""Wellington"", ""customerCountry"": ""NZ"", ""transactionDate"": ""2025-03-12"", ""totalGrossAmount"": 126.19, ""totalTaxAmount"": 0.19, ""paymentSurchargeAmount"": 0.0, ""customerID"": ""203287"", ""customerEmail"": ""cheka@doc.govt.nz"", ""currency"": ""NZD"", ""items"": [{""id"": 1, ""product"": ""100000101"", ""itemDescription"": ""6 x Fishing Lic, Taupo - Adult 24Hr"", ""WBSElement"": """", ""costCentre"": ""9212336"", ""fromDate"": ""2025-03-15"", ""toDate"": ""2025-03-21"", ""netPrice"": 126.0, ""quantity"": 6, ""uom"": ""EA"", ""taxcode"": ""S1""}]}","b'{""appID"": ""ONECASH"", ""salesReferenceID"": ""EX63zdDE7B"", ""payReferenceID"": ""psk93ZX5xc"", ""customerName"": ""Martin CamTest"", ""customerName2"": ""customerName2"", ""customerStreet"": ""18 Manners Street"", ""customerCity"": ""Wellington"", ""customerCountry"": ""NZ"", ""transactionDate"": ""2025-03-12"", ""totalGrossAmount"": 126.19, ""totalTaxAmount"": 0.19, ""paymentSurchargeAmount"": 0.0, ""customerID"": ""203287"", ""customerEmail"": ""cheka@doc.govt.nz"", ""currency"": ""NZD"", ""items"": [{""id"": 1, ""product"": ""100000101"", ""itemDescription"": ""6 x Fishing Lic, Taupo - Adult 24Hr"", ""WBSElement"": """", ""costCentre"": ""9212336"", ""fromDate"": ""2025-03-15"", ""toDate"": ""2025-03-21"", ""netPrice"": 126.0, ""quantity"": 6, ""uom"": ""EA"", ""taxcode"": ""S1""}]}'"
400,"{'cache-control': 'no-cache, no-store, max-age=0, must-revalidate', 'content-length': '425', 'content-type': 'application/json;charset=UTF-8', 'date': 'Sun, 16 Mar 2025 22:52:00 GMT', 'expires': '0', 'pragma': 'no-cache', 'sap_messageprocessinglogid': 'AGfXVhAErtcwJgw9iRnh4ZLj4gZG', 'sap_mplcorrelationid': 'AGfXVhD25WvyzEzuzPCmMsQN1mR8', 'sap_pregeneratedmplid': 'AGfXVhBkBglyyb_zZcG_n_OLF02a', 'server': 'SAP', 'x-content-type-options': 'nosniff', 'x-correlationid': 'ece2defa-a738-4dee-73cd-71fba120aef5', 'x-frame-options': 'DENY', 'x-vcap-request-id': 'ece2defa-a738-4dee-73cd-71fba120aef5', 'x-xss-protection': '1; mode=block', 'strict-transport-security': 'max-age=31536000; includeSubDomains; preload;'}",<RequestsCookieJar[]>,"com.sap.it.xml.validator.exception.XSDSchemaValidationException: Validation failed for: /xsd/salestransaction.xsd
errors: [
org.xml.sax.SAXParseException: In content of element <salesOrder>: The content model does not allow element <Q{}totalGrossAmount> to appear immediately after element <customerPostCode>. It must be preceded by <Q{}transactionDate>. , Line : 1, Column : 435
]. Exchange[0FDFAC6E89E771F-0000000000000012]","b'com.sap.it.xml.validator.exception.XSDSchemaValidationException: Validation failed for: /xsd/salestransaction.xsd\nerrors: [\norg.xml.sax.SAXParseException: In content of element <salesOrder>: The content model does not allow element <Q{}totalGrossAmount> to appear immediately after element <customerPostCode>. It must be preceded by <Q{}transactionDate>. , Line : 1, Column : 435\n]. Exchange[0FDFAC6E89E771F-0000000000000012]'"
400,"{'cache-control': 'no-cache, no-store, max-age=0, must-revalidate', 'content-length': '552', 'content-type': 'application/json;charset=UTF-8', 'date': 'Sun, 16 Mar 2025 22:52:00 GMT', 'expires': '0', 'pragma': 'no-cache', 'sap_messageprocessinglogid': 'AGfXVhD76xEu_91TVN4UF_miuqta', 'sap_mplcorrelationid': 'AGfXVhAU64cPVgqZfqFOzMRoo54C', 'sap_pregeneratedmplid': 'AGfXVhAIigCWda490NM96Wlb1Wej', 'server': 'SAP', 'x-content-type-options': 'nosniff', 'x-correlationid': 'd0b26778-5355-4e4a-4379-f89e467fa194', 'x-frame-options': 'DENY', 'x-vcap-request-id': 'd0b26778-5355-4e4a-4379-f89e467fa194', 'x-xss-protection': '1; mode=block', 'strict-transport-security': 'max-age=31536000; includeSubDomains; preload;'}",<RequestsCookieJar[]>,"com.sap.it.xml.validator.exception.XSDSchemaValidationException: Validation failed for: /xsd/salestransaction.xsd
errors: [
org.xml.sax.SAXParseException: In content of element <salesOrder>: The content model does not allow element <Q{}totalTaxAmount> to appear immediately after element <transactionDate>. It must be preceded by <Q{}totalGrossAmount>. , Line : 1, Column : 478
org.xml.sax.SAXParseException: Element salesOrder does not satisfy assertion. Transaction Doesn't Balance, Line : 1, Column : 51
]. Exchange[0FDFAC6E89E771F-0000000000000013]","b""com.sap.it.xml.validator.exception.XSDSchemaValidationException: Validation failed for: /xsd/salestransaction.xsd\nerrors: [\norg.xml.sax.SAXParseException: In content of element <salesOrder>: The content model does not allow element <Q{}totalTaxAmount> to appear immediately after element <transactionDate>. It must be preceded by <Q{}totalGrossAmount>. , Line : 1, Column : 478\norg.xml.sax.SAXParseException: Element salesOrder does not satisfy assertion. Transaction Doesn't Balance, Line : 1, Column : 51\n]. Exchange[0FDFAC6E89E771F-0000000000000013]"""
400,"{'cache-control': 'no-cache, no-store, max-age=0, must-revalidate', 'content-length': '559', 'content-type': 'application/json;charset=UTF-8', 'date': 'Sun, 16 Mar 2025 22:52:01 GMT', 'expires': '0', 'pragma': 'no-cache', 'sap_messageprocessinglogid': 'AGfXVhHGIx2s1eFks_WfX0ADz31L', 'sap_mplcorrelationid': 'AGfXVhEDI5tTVt_u-Nh8qKXmgA6p', 'sap_pregeneratedmplid': 'AGfXVhE0x282J09jWfG0tdEKRbBU', 'server': 'SAP', 'x-content-type-options': 'nosniff', 'x-correlationid': '3b9d4b60-2790-43a8-6426-2aac7cae1005', 'x-frame-options': 'DENY', 'x-vcap-request-id': '3b9d4b60-2790-43a8-6426-2aac7cae1005', 'x-xss-protection': '1; mode=block', 'strict-transport-security': 'max-age=31536000; includeSubDomains; preload;'}",<RequestsCookieJar[]>,"com.sap.it.xml.validator.exception.XSDSchemaValidationException: Validation failed for: /xsd/salestransaction.xsd
errors: [
org.xml.sax.SAXParseException: In content of element <salesOrder>: The content model does not allow element <Q{}paymentSurchargeAmount> to appear immediately after element <totalGrossAmount>. It must be preceded by <Q{}totalTaxAmount>. , Line : 1, Column : 528
org.xml.sax.SAXParseException: Element salesOrder does not satisfy assertion. Transaction Doesn't Balance, Line : 1, Column : 51
]. Exchange[0FDFAC6E89E771F-0000000000000014]","b""com.sap.it.xml.validator.exception.XSDSchemaValidationException: Validation failed for: /xsd/salestransaction.xsd\nerrors: [\norg.xml.sax.SAXParseException: In content of element <salesOrder>: The content model does not allow element <Q{}paymentSurchargeAmount> to appear immediately after element <totalGrossAmount>. It must be preceded by <Q{}totalTaxAmount>. , Line : 1, Column : 528\norg.xml.sax.SAXParseException: Element salesOrder does not satisfy assertion. Transaction Doesn't Balance, Line : 1, Column : 51\n]. Exchange[0FDFAC6E89E771F-0000000000000014]"""
